race_id,track,race_number,distance,surface,date_time,race_description,available_bets
155,SAX,R2,6f,D,05-27-2016<br>14:35,SAX R2 6f D 05-27-2016<br>14:35 Pacific ,SAX R2 6f D 05-27-2016<br>14:35 Pacific 
156,SAX,R3,6.5f,T,05-27-2016<br>15:05,SAX R3 6.5f T 05-27-2016<br>15:05 Pacific ,SAX R3 6.5f T 05-27-2016<br>15:05 Pacific 
157,SAX,R4,5.5f,D,05-27-2016<br>15:35,SAX R4 5.5f D 05-27-2016<br>15:35 Pacific ,SAX R4 5.5f D 05-27-2016<br>15:35 Pacific 
158,SAX,R5,6.5f,T,05-27-2016<br>16:05,SAX R5 6.5f T 05-27-2016<br>16:05 Pacific ,SAX R5 6.5f T 05-27-2016<br>16:05 Pacific 
159,SAX,R6,6.5f,D,05-27-2016<br>16:35,SAX R6 6.5f D 05-27-2016<br>16:35 Pacific ,SAX R6 6.5f D 05-27-2016<br>16:35 Pacific 
160,SAX,R7,6.5f,T,05-27-2016<br>17:05,SAX R7 6.5f T 05-27-2016<br>17:05 Pacific ,SAX R7 6.5f T 05-27-2016<br>17:05 Pacific 
161,SAX,R8,6f,D,05-27-2016<br>17:35,SAX R8 6f D 05-27-2016<br>17:35 Pacific ,SAX R8 6f D 05-27-2016<br>17:35 Pacific 
162,TDN,R1,5.5f,D,05-27-2016<br>09:55,TDN R1 5.5f D 05-27-2016<br>09:55 Pacific ,TDN R1 5.5f D 05-27-2016<br>09:55 Pacific 
163,TDN,R2,8f,D,05-27-2016<br>10:25,TDN R2 8f D 05-27-2016<br>10:25 Pacific ,TDN R2 8f D 05-27-2016<br>10:25 Pacific 
164,TDN,R3,8f,D,05-27-2016<br>10:55,TDN R3 8f D 05-27-2016<br>10:55 Pacific ,TDN R3 8f D 05-27-2016<br>10:55 Pacific 
165,TDN,R4,6f,D,05-27-2016<br>11:25,TDN R4 6f D 05-27-2016<br>11:25 Pacific ,TDN R4 6f D 05-27-2016<br>11:25 Pacific 
166,TDN,R5,6f,D,05-27-2016<br>11:55,TDN R5 6f D 05-27-2016<br>11:55 Pacific ,TDN R5 6f D 05-27-2016<br>11:55 Pacific 
167,TDN,R6,8f,D,05-27-2016<br>12:25,TDN R6 8f D 05-27-2016<br>12:25 Pacific ,TDN R6 8f D 05-27-2016<br>12:25 Pacific 
168,TDN,R7,5.5f,D,05-27-2016<br>12:55,TDN R7 5.5f D 05-27-2016<br>12:55 Pacific ,TDN R7 5.5f D 05-27-2016<br>12:55 Pacific 
169,TDN,R8,6f,D,05-27-2016<br>13:25,TDN R8 6f D 05-27-2016<br>13:25 Pacific ,TDN R8 6f D 05-27-2016<br>13:25 Pacific 
170,WOX,R1,8.5f,D,05-27-2016<br>10:00,WOX R1 8.5f D 05-27-2016<br>10:00 Pacific ,WOX R1 8.5f D 05-27-2016<br>10:00 Pacific 
171,WOX,R2,5f,D,05-27-2016<br>10:35,WOX R2 5f D 05-27-2016<br>10:35 Pacific ,WOX R2 5f D 05-27-2016<br>10:35 Pacific 
172,WOX,R3,8.5f,D,05-27-2016<br>11:10,WOX R3 8.5f D 05-27-2016<br>11:10 Pacific ,WOX R3 8.5f D 05-27-2016<br>11:10 Pacific 
173,WOX,R4,6.5f,D,05-27-2016<br>11:44,WOX R4 6.5f D 05-27-2016<br>11:44 Pacific ,WOX R4 6.5f D 05-27-2016<br>11:44 Pacific 
174,WOX,R5,8.5f,D,05-27-2016<br>12:16,WOX R5 8.5f D 05-27-2016<br>12:16 Pacific ,WOX R5 8.5f D 05-27-2016<br>12:16 Pacific 
175,WOX,R6,7f,D,05-27-2016<br>12:47,WOX R6 7f D 05-27-2016<br>12:47 Pacific ,WOX R6 7f D 05-27-2016<br>12:47 Pacific 
176,WOX,R7,6.5f,T,05-27-2016<br>13:19,WOX R7 6.5f T 05-27-2016<br>13:19 Pacific ,WOX R7 6.5f T 05-27-2016<br>13:19 Pacific 
177,WOX,R8,8.5f,D,05-27-2016<br>13:51,WOX R8 8.5f D 05-27-2016<br>13:51 Pacific ,WOX R8 8.5f D 05-27-2016<br>13:51 Pacific 
178,WOX,R9,6.5f,D,05-27-2016<br>14:23,WOX R9 6.5f D 05-27-2016<br>14:23 Pacific ,WOX R9 6.5f D 05-27-2016<br>14:23 Pacific 
